idx,SPLINE_X,SPLINE_Y,SENSOR_TIMESTAMP,SENSOR_PRESSURE,SENSOR_ALTITUDE,SENSOR_AZIMUTH
2,339.056884765625,200.2342529296875,1722443389849.681,0.7600000000000001,0.65,0.66
2,339.398681640625,200.2161102294922,1722443389849.686,0.7600000000000001,0.65,0.66
2,339.7073669433594,200.2164306640625,1722443389849.689,0.7600000000000001,0.65,0.66
2,339.9849853515625,200.2232208251953,1722443389849.693,0.7600000000000001,0.65,0.66
2,340.25323486328125,200.228271484375,1722443389849.698,0.7600000000000001,0.65,0.66
2,340.5386657714844,200.2400360107422,1722443389849.702,0.7600000000000001,0.65,0.66
2,340.8566589355469,200.29322814941406,1722443389849.708,0.7600000000000001,0.65,0.66
2,341.19049072265625,200.4226531982422,1722443389849.711,0.7600000000000001,0.65,0.66
2,341.5206298828125,200.63406372070312,1722443389849.717,0.7600000000000001,0.65,0.66
2,341.8417053222656,200.9077911376953,1722443389849.719,0.7600000000000001,0.65,0.66
2,342.1664733886719,201.2201385498047,1722443389849.723,0.7600000000000001,0.65,0.66
2,342.5033264160156,201.55560302734375,1722443389849.728,0.7600000000000001,0.65,0.66
2,342.85076904296875,201.91336059570312,1722443389849.731,0.7600000000000001,0.65,0.66
2,343.1911926269531,202.2978973388672,1722443389849.736,0.7600000000000001,0.65,0.66
2,343.51617431640625,202.72097778320312,1722443389849.739,0.7600000000000001,0.65,0.66
2,343.822021484375,203.1970672607422,1722443389849.744,0.7600000000000001,0.65,0.66
2,344.112060546875,203.7332763671875,1722443389849.748,0.7600000000000001,0.65,0.66
2,344.37628173828125,204.31903076171875,1722443389849.751,0.7700000000000001,0.65,0.66
2,344.6050109863281,204.94105529785156,1722443389849.755,0.7700000000000001,0.65,0.66
2,344.79730224609375,205.5816192626953,1722443389849.761,0.7700000000000001,0.65,0.66
2,344.9674377441406,206.22425842285156,1722443389849.766,0.7700000000000001,0.65,0.66
2,345.1216735839844,206.8634033203125,1722443389849.769,0.7700000000000001,0.65,0.66
2,345.2562255859375,207.49942016601562,1722443389849.773,0.7700000000000001,0.65,0.66
2,345.3648681640625,208.14193725585938,1722443389849.777,0.7700000000000001,0.65,0.66
2,345.4530029296875,208.78851318359375,1722443389849.782,0.7700000000000001,0.65,0.66
2,345.53277587890625,209.4307403564453,1722443389849.785,0.7700000000000001,0.65,0.66
2,345.6136169433594,210.04710388183594,1722443389849.789,0.7700000000000001,0.65,0.66
2,345.6979675292969,210.6344757080078,1722443389849.793,0.7700000000000001,0.65,0.66
2,345.78448486328125,211.1962432861328,1722443389849.798,0.7700000000000001,0.65,0.66
2,345.8719177246094,211.751953125,1722443389849.801,0.7700000000000001,0.65,0.66
2,345.94964599609375,212.29661560058594,1722443389849.805,0.7800000000000001,0.65,0.66
2,346.0039978027344,212.82461547851562,1722443389849.811,0.7800000000000001,0.65,0.66
2,346.0373840332031,213.33251953125,1722443389849.815,0.7800000000000001,0.65,0.66
2,346.06103515625,213.83480834960938,1722443389849.819,0.7800000000000001,0.65,0.66
2,346.0825500488281,214.3422393798828,1722443389849.822,0.7800000000000001,0.65,0.66
2,346.1081237792969,214.85821533203125,1722443389849.827,0.7800000000000001,0.65,0.66
2,346.13787841796875,215.3683319091797,1722443389849.833,0.7800000000000001,0.65,0.66
2,346.1672058105469,215.86561584472656,1722443389849.835,0.7900000000000001,0.65,0.66
2,346.18658447265625,216.35508728027344,1722443389849.839,0.7900000000000001,0.65,0.66
2,346.1831970214844,216.8421173095703,1722443389849.843,0.7900000000000001,0.65,0.66
